"Ascariasis","704430971408482304","1566934567","GS Medical Packaging","A really good read Ascariasis https://t.co/0wGHtHiQFx","None","None"
"Actinomycosis","704456121075904512","704346290646347776","FurriesAgainstWords","Furries Against Abdominal Actinomycosis","None","None"
"Enterovirus infection","704482330123964416","868984585","John Duncan","@bethelaineboel OIC. TY for sharing. Some suspect chronic enterovirus or chronic herpesvirus infection in ME, I know.","None","California, USA"
"Enterovirus infection","704513509204209669","1220086963","BrownJudith","Epicast check out: personage immunodeficiency enterovirus - primary infection preshowing versus 2022: KqTYc","None","None"
"Enterovirus infection","704533016379523072","236529593","CMDoran","Mom Says Daughter Remains Partially Paralyzed 18 Months After Enterovirus Infection - ABC News - https://t.co/IcYvO2MaFQ via @ABC","None","USA"
"Campylobacteriosis","704592165670948865","3434250327","IM Public Health","Campylobacter prevention measures ‘urgently’ required https://t.co/qw7VsXJ8Cm via @FoodQualityNews","None","United Kingdom"
"Erythema infectiosum ","704599577211609088","1839008022","Tohirah Nordin","*numbered diseases
1st: Measles
2nd: Scarlet fever
3rd: Rubella
4th: SSSS
5th: Erythema infectiosum
6th: Roseola infantum

#todaystopic","None","cairo"
"Erythema infectiosum ","704603867888160768","919947265","???","RT @TohirahN: *numbered diseases
1st: Measles
2nd: Scarlet fever
3rd: Rubella
4th: SSSS
5th: Erythema infectiosum
6th: Roseola infantum

#t…","None","El-Abbasiah, Qaherah, Egypt"
"Erythema infectiosum ","704606018236362752","2901879672","Pediatrics","Fifth disease (Erythema Infectiosum) https://t.co/OS83kwYXgl https://t.co/hFpvuGvaS2","None","None"
"Erythema infectiosum ","704607268311064576","178704712","an?s","RT @TohirahN: *numbered diseases
1st: Measles
2nd: Scarlet fever
3rd: Rubella
4th: SSSS
5th: Erythema infectiosum
6th: Roseola infantum

#t…","None","Malaysia"
"Ehrlichiosis","704616687140802560","936647096","CV KANSAS CITY","¿Conoces los síntomas de la Ehrlichiosis canina?

Es una enfermedad causada por diversas bacterias que se... https://t.co/tLJGs65lXz","None","AVENIDA DE KANSAS CITY 96"
"Cytomegalovirus infection","704638639381352448","3034204312","Promega France","Zoom sur linfection CMV The Most Common Congenital Infection That You Have Never Heard Of https://t.co/dTOcdWVHF7 https://t.co/fl29961kds","None","Charbonnières-les-Bains"
"Murine typhus ","704640484921253889","131387085","Meghan Daum","Woke up this morning to see that my Survivors of Murine Typhus Facebook page (est 2012) has 14 new views! Start of a beautiful day.","None","Los Angeles - New York City"
"Subacute sclerosing panencephalitis","704645033828417536","293647161","The Right Training","RT @breastbeautycr: Subacute Sclerosing Panencephalitis https://t.co/sOw46RlnvX","None","São Paulo, Brasil"
"Ehrlichiosis","704660968035364865","2425356259","Air Rick Zooneegah","@HiMeiLee hi mei! Did my coworker send you the pictures?","None","Shanghai"
"Monkeypox","704664077696704514","2834235072","ჰაბერ♊️","@hej0mz انا تعمدت اصور ذي الصفحة لأنها احتوت فايروس اول مره اسمع عنه Monkeypox هذا فايروس انتشر بأمريكا عام ٢٠٠٣ م للاطفال والكبار","None","Mars, Milky way"
"Buruli ulcer","704666405799600128","106930683","American Leprosy","Thanks to you, 74,000 school children in Cote dIvoire have received health education about #leprosy &amp; Buruli ulcer. https://t.co/5etm3BYm4t","None","Greenville, SC"
"Campylobacteriosis","704670533263097857","1872403555","LCM Honduras","CAMPYLOBACTERIOSIS
La campilobacteriosis es una enfermedad infecciosa ocasionada por bacterias del género... https://t.co/uVy3By9Jhy","None","Honduras"
"African trypanosomiasis","704675072208986113","137319302","Bayer AG","Bayer #Infographic #tropicaldiseases: Infection cycles of human African trypanosomiasis https://t.co/lAtvZYXe9b https://t.co/4NmTzJ1C5N","None","Leverkusen"
"African trypanosomiasis","704675183416573952","63137771","el mundo ama a mao","RT @Bayer: Bayer #Infographic #tropicaldiseases: Infection cycles of human African trypanosomiasis https://t.co/lAtvZYXe9b https://t.co/4Nm…","None","ÜT: 19.440565,-99.214663"
